formula,Property Lattice parameter (a),Property Lattice parameter (a) units,Property Cell angle ($\gamma$),Property Cell angle ($\gamma$) units,Property Melting point,Property Melting point units,Property Crystal system,Property Lattice parameter (c),Property Lattice parameter (c) units,Property Cell angle ($\alpha$),Property Cell angle ($\alpha$) units,Property Lattice parameter (b),Property Lattice parameter (b) units,Property Cell angle ($\beta$),Property Cell angle ($\beta$) units,Property Space group number
Na$_{2}$SO$_{4}$,,,,,884,$^{\circ}$C,,,,,,,,,,
TiO$_{2}$,,,,,,,,,,,,,,,,
RbCl,,,,,,,,,,,,,,,,
BeO,,,,,2550,$^{\circ}$C,,,,,,,,,,
VO,,,,,2077,$^{\circ}$C,,,,,,,,,,
SiC,,,,,,,,,,,,,,,,
ZrC,,,,,,,,,,,,,,,,
Cr$_{2}$O$_{3}$,,,,,2279,$^{\circ}$C,,,,,,,,,,
BaF$_{2}$,,,,,"1,286.80",$^{\circ}$C,,,,,,,,,,
GaSb,,,,,,,,,,,,,,,,
Li$_{2}$SO$_{4}$,,,,,857,$^{\circ}$C,,,,,,,,,,
BaB$_{4}$,,,,,,,,,,,,,,,,
CuO,,,,,1446,$^{\circ}$C,,,,,,,,,,
RbF,,,,,,,,,,,,,,,,
FeCl$_{2}$,,,,,677,$^{\circ}$C,,,,,,,,,,
H$_{3}$PO$_{3}$,,,,,73.8,$^{\circ}$C,,,,,,,,,,
Na$_{2}$MoO$_{4}$,,,,,687,$^{\circ}$C,,,,,,,,,,
GeO$_{2}$,,,,,,,,,,,,,,,,
LiBr,,,,,,,,,,,,,,,,
Al$_{2}$O$_{3}$,,,,,2045,$^{\circ}$C,,,,,,,,,,
KI,,,,,,,,,,,,,,,,
AlN,,,,,,,,,,,,,,,,
CaSe,,,,,,,,,,,,,,,,
SnO,,,,,1042,$^{\circ}$C,,,,,,,,,,
UO$_{2}$,,,,,,,,,,,,,,,,
MoCl$_{2}$,,,,,726.8,$^{\circ}$C,,,,,,,,,,
Al$_{4}$C$_{3}$,,,,,,,,,,,,,,,,
NaI,,,,,,,,,,,,,,,,
CdS,,,,,,,,,,,,,,,,
AlSb,,,,,,,,,,,,,,,,
HgBr$_{2}$,,,,,241,$^{\circ}$C,,,,,,,,,,
C,,,,,,,,,,,,,,,,
LiCl,,,,,,,,,,,,,,,,
WC,,,,,,,,,,,,,,,,
EuCl$_{3}$,,,,,622,$^{\circ}$C,,,,,,,,,,
CdSe,,,,,,,,,,,,,,,,
CsNO$_{3}$,,,,,406.8,$^{\circ}$C,,,,,,,,,,
CaTe,,,,,,,,,,,,,,,,
CaSiO$_{3}$,,,,,1512,$^{\circ}$C,,,,,,,,,,
CaCO$_{3}$,,,,,1282,$^{\circ}$C,,,,,,,,,,
TaB$_{2}$,,,,,,,,,,,,,,,,
GaAs,,,,,,,,,,,,,,,,
Cr$_{3}$C$_{2}$,,,,,,,,,,,,,,,,
SrTe,,,,,,,,,,,,,,,,
HfO$_{2}$,,,,,,,,,,,,,,,,
UCl$_{4}$,,,,,590,$^{\circ}$C,,,,,,,,,,
HCl,,,,,-114.3,$^{\circ}$C,,,,,,,,,,
Si,,,,,,,,,,,,,,,,
Sb$_{4}$O$_{6}$,,,,,655,$^{\circ}$C,,,,,,,,,,
Cu$_{2}$S,,,,,1129,$^{\circ}$C,,,,,,,,,,
B$_{4}$C,,,,,,,,,,,,,,,,
NaF,,,,,,,,,,,,,,,,
MoSi$_{2}$,,,,,,,,,,,,,,,,
P$_{4}$O$_{6}$,,,,,23.7,$^{\circ}$C,,,,,,,,,,
TiBr$_{4}$,,,,,38,$^{\circ}$C,,,,,,,,,,
ZnSe,,,,,,,,,,,,,,,,
H$_{2}$SeO$_{4}$,,,,,57.8,$^{\circ}$C,,,,,,,,,,
CrB$_{2}$,,,,,,,,,,,,,,,,
TaC,,,,,,,,,,,,,,,,
MgSiO$_{3}$,,,,,857,$^{\circ}$C,,,,,,,,,,
ZnCl$_{2}$,,,,,283,$^{\circ}$C,,,,,,,,,,
NaCl,,,,,,,,,,,,,,,,
CeO$_{2}$,,,,,,,,,,,,,,,,
SO$_{3}$,,,,,16.8,$^{\circ}$C,,,,,,,,,,
MgCl$_{2}$,,,,,712,$^{\circ}$C,,,,,,,,,,
AlAs,,,,,,,,,,,,,,,,
KBr,,,,,,,,,,,,,,,,
Re$_{2}$O$_{7}$,,,,,296,$^{\circ}$C,,,,,,,,,,
BCl$_{3}$,,,,,-107.8,$^{\circ}$C,,,,,,,,,,
K$_{2}$Cr$_{2}$O$_{7}$,,,,,398,$^{\circ}$C,,,,,,,,,,
Si$_{3}$N$_{4}$,,,,,,,,,,,,,,,,
NaAlSi$_{3}$O$_{8}$,,,,,1107,$^{\circ}$C,,,,,,,,,,
F$_{2}$,,,,,-219.6,$^{\circ}$C,,,,,,,,,,
SeOCl$_{3}$,,,,,9.8,$^{\circ}$C,,,,,,,,,,
BN,,,,,,,,,,,,,,,,
AgF,,,,,,,,,,,,,,,,
TiC,,,,,,,,,,,,,,,,
PbCl$_{2}$,,,,,497.8,$^{\circ}$C,,,,,,,,,,
CdI$_{2}$,,,,,386.8,$^{\circ}$C,,,,,,,,,,
KCl,,,,,,,,,,,,,,,,
Ta$_{2}$O$_{5}$,,,,,1877,$^{\circ}$C,,,,,,,,,,
InP,,,,,,,,,,,,,,,,
Fe$_{3}$C,,,,,"1,226.80",$^{\circ}$C,,,,,,,,,,
BaTe,,,,,,,,,,,,,,,,
ZnS,,,,,,,,,,,,,,,,
H$_{2}$Te,,,,,-49,$^{\circ}$C,,,,,,,,,,
InSb,,,,,,,,,,,,,,,,
AgCN,,,,,350,$^{\circ}$C,,,,,,,,,,
ZrO$_{2}$,,,,,,,,,,,,,,,,
CaSO$_{4}$,,,,,1297,$^{\circ}$C,,,,,,,,,,
ThCl$_{4}$,,,,,765,$^{\circ}$C,,,,,,,,,,
MgF$_{2}$,,,,,,,,,,,,,,,,
ZrCl$_{2}$,,,,,727,$^{\circ}$C,,,,,,,,,,
Br$_{2}$,,,,,-7.2,$^{\circ}$C,,,,,,,,,,
ThO$_{2}$,,,,,,,,,,,,,,,,
CdTe,,,,,,,,,,,,,,,,
SrSe,,,,,,,,,,,,,,,,
MoO$_{3}$,,,,,795,$^{\circ}$C,,,,,,,,,,
PbMoO$_{4}$,,,,,1065,$^{\circ}$C,,,,,,,,,,
NaSCN,,,,,323,$^{\circ}$C,,,,,,,,,,
SrO,,,,,2430,$^{\circ}$C,,,,,,,,,,
RbI,,,,,,,,,,,,,,,,
Al$_{2}$Cl$_{6}$,,,,,192.4,$^{\circ}$C,,,,,,,,,,
MgO,,,,,,,,,,,,,,,,
Y$_{2}$O$_{3}$,,,,,2227,$^{\circ}$C,,,,,,,,,,
RbNO$_{3}$,,,,,305,$^{\circ}$C,,,,,,,,,,
SnBr$_{2}$,,,,,231.8,$^{\circ}$C,,,,,,,,,,
CaF$_{2}$,,,,,,,,,,,,,,,,
Ba(NO$_{3}$)$_{2}$,,,,,594.8,$^{\circ}$C,,,,,,,,,,
TlI,,,,,440,$^{\circ}$C,,,,,,,,,,
BaSe,,,,,,,,,,,,,,,,
AsF$_{5}$,,,,,80.8,$^{\circ}$C,,,,,,,,,,
MnSiO$_{3}$,,,,,712,$^{\circ}$C,,,,,,,,,,
Ni$_{3}$S$_{2}$,,,,,790,$^{\circ}$C,,,,,,,,,,
Nb$_{2}$O$_{5}$,,,,,1511,$^{\circ}$C,,,,,,,,,,
Fe(CO)$_{5}$,,,,,-21.2,$^{\circ}$C,,,,,,,,,,
SnO$_{2}$,,,,,,,,,,,,,,,,
Ag$_{2}$SO$_{4}$,,,,,657,$^{\circ}$C,,,,,,,,,,
WO$_{2}$,,,,,1270,$^{\circ}$C,,,,,,,,,,
NaBr,,,,,,,,,,,,,,,,
InAs,,,,,,,,,,,,,,,,
NaBO$_{2}$,,,,,966,$^{\circ}$C,,,,,,,,,,
K$_{2}$CO$_{3}$,,,,,897,$^{\circ}$C,,,,,,,,,,
GaP,,,,,,,,,,,,,,,,
Tl$_{2}$CO$_{3}$,,,,,273,$^{\circ}$C,,,,,,,,,,
ZrB$_{2}$,,,,,,,,,,,,,,,,
ZnTe,,,,,,,,,,,,,,,,
CuCl,,,,,429,$^{\circ}$C,,,,,,,,,,
AlP,,,,,,,,,,,,,,,,
CNCl,,,,,-5.2,$^{\circ}$C,,,,,,,,,,
Ge,,,,,,,,,,,,,,,,
SiO$_{2}$,,,,,1723,$^{\circ}$C,,,,,,,,,,
RbBr,,,,,677,$^{\circ}$C,,,,,,,,,,
K$_{4}$P$_{2}$O$_{7}$,,,,,1092,$^{\circ}$C,,,,,,,,,,
Li$_{2}$SiO$_{3}$,,,,,1177,$^{\circ}$C,,,,,,,,,,
KF,,,,,,,,,,,,,,,,
HfC,,,,,,,,,,,,,,,,
TiB$_{2}$,,,,,,,,,,,,,,,,
LiF,,,,,896,$^{\circ}$C,,,,,,,,,,
B$_{2}$O$_{3}$,,,,,,,,,,,,,,,,
TiN,,,,,,,,,,,,,,,,
LiI,,,,,,,,,,,,,,,,
BiF$_{3}$,,,,,726,$^{\circ}$C,,,,,,,,,,
CsBr,,,,,,,,,,,,,,,,
NaClO$_{3}$,,,,,255,$^{\circ}$C,,,,,,,,,,
As$_{4}$O$_{6}$,,,,,312.8,$^{\circ}$C,,,,,,,,,,
CsI,,,,,,,,,,,,,,,,
KOH,,,,,360,$^{\circ}$C,,,,,,,,,,
MnF$_{2}$,,,,,,,,,,,,,,,,
OsO$_{4}$,,,,,41.8,$^{\circ}$C,,,,,,,,,,
C$_{5}$H$_{17}$AlN$_{2}$O$_{8}$P$_{2}$,7.8783(2),$\AA$,90,°,,,monoclinic,16.0680(4),$\AA$,90,°,10.46890(10),$\AA$,95.1470(10),$^\circ$,14
C$_{107}$H$_{142}$N$_{14}$O$_{26}$,48.480,$\AA$,90,°,,,orthorhombic,10.740,$\AA$,90,°,21.720,$\AA$,90,°,19
C$_{3}$D$_{3}$O$_{7}$Sr,6.341(1),$\AA$,90,°,,,,5.7798(8),$\AA$,90,°,16.880(2),$\AA$,97.60(1),$^\circ$,
C$_{3}$O$_{6}$Sr,7.9661(7),$\AA$,90,°,,,,7.3198(8),$\AA$,90,°,9.205(1),$\AA$,102.104(8),$^\circ$,
C$_{29}$H$_{30}$CuIP$_{2}$,9.899(5),$\AA$,95.560(5),$^\circ$,,,?,12.259(5),$\AA$,103.442(5),$^\circ$,11.729(5),$\AA$,96.291(5),$^\circ$,2
F$_{16}$H$_{3}$O$_{6}$Sr$_{5}$V$_{3}$,11.217(2),$\AA$,90,°,,,monoclinic,19.887(4),$\AA$,90,°,8.1775(15),$\AA$,105.999(4),$^\circ$,14
C$_{22}$H$_{25}$ClN$_{2}$O$_{8}$,10.9300(9),$\AA$,90,°,,,orthorhombic,15.7085(13),$\AA$,90,°,12.7162(11),$\AA$,90,°,19
CaMgO$_{6}$Si$_{2}$,9.73970,$\AA$,90,°,,,,5.25030,$\AA$,90,°,8.91740,$\AA$,105.866,°,15
CaMgO$_{6}$Si$_{2}$,9.73770,$\AA$,90,°,,,,5.24940,$\AA$,90,°,8.91510,$\AA$,105.851,°,
CaMgO$_{6}$Si$_{2}$,9.68080,$\AA$,90,°,,,,5.21800,$\AA$,90,°,8.84880,$\AA$,105.606,°,
CaMgO$_{6}$Si$_{2}$,9.63410,$\AA$,90,°,,,,5.19260,$\AA$,90,°,8.79480,$\AA$,105.421,°,
CaMgO$_{6}$Si$_{2}$,9.61350,$\AA$,90,°,,,,5.18130,$\AA$,90,°,8.76950,$\AA$,105.337,°,
CaMgO$_{6}$Si$_{2}$,9.57310,$\AA$,90,°,,,,5.15800,$\AA$,90,°,8.71970,$\AA$,105.203,°,
CaMgO$_{6}$Si$_{2}$,9.55570,$\AA$,90,°,,,,5.14740,$\AA$,90,°,8.69510,$\AA$,105.148,°,
CaMgO$_{6}$Si$_{2}$,9.53910,$\AA$,90,°,,,,5.13850,$\AA$,90,°,8.67520,$\AA$,105.106,°,
CaMgO$_{6}$Si$_{2}$,9.52700,$\AA$,90,°,,,,5.13060,$\AA$,90,°,8.65870,$\AA$,105.067,°,
CaMgO$_{6}$Si$_{2}$,9.51640,$\AA$,90,°,,,,5.12460,$\AA$,90,°,8.64490,$\AA$,105.033,°,
Al$_{2}$O$_{3}$,4.7606(5),$\AA$,120,°,,,trigonal,12.994(1),$\AA$,90,°,4.7606(5),$\AA$,90,°,167
C$_{13}$H$_{22}$O$_{3}$,9.812(2),$\AA$,89.460(10),$^\circ$,,,triclinic,11.443(2),$\AA$,82.470(10),$^\circ$,11.1410(10),$\AA$,77.560(10),$^\circ$,
C$_{17}$H$_{17}$NO$_{2}$,12.1194(14),$\AA$,90,°,,,monoclinic,12.5048(16),$\AA$,90,°,10.2869(8),$\AA$,115.864(8),$^\circ$,14
C$_{12}$H$_{30}$As$_{2}$Cl$_{2}$Pt,8.0566(16),$\AA$,90,°,,,monoclinic,13.083(3),$\AA$,90,°,17.754(4),$\AA$,94.20(3),$^\circ$,14
C$_{13}$H$_{15}$NO$_{4}$S,19.967(2),$\AA$,90,°,,,monoclinic,9.1666(13),$\AA$,90,°,7.5484(9),$\AA$,102.967(11),$^\circ$,14
CaO$_{3}$Ti,5.380(1),$\AA$,90,°,,,orthorhombic,7.639(1),$\AA$,90,°,5.440(1),$\AA$,90,°,62
Cu$_{3}$Fe$_{4}$O$_{24}$P$_{6}$,7.9296(1),$\AA$,105.830(1),$^\circ$,,,triclinic,6.2555(1),$\AA$,107.160(1),$^\circ$,9.3275(2),$\AA$,101.011(1),$^\circ$,2
GaGd$_{3}$O$_{6}$,8.99280(10),$\AA$,90,°,,,orthorhombic,5.48116(9),$\AA$,90,°,11.2809(2),$\AA$,90,°,36
LaNi$_{5}$,5.0125(3),$\AA$,120,°,,,hexagonal,3.9873(2),$\AA$,90,°,5.0125(3),$\AA$,90,°,191
B$_{2}$Mg,3.085,$\AA$,120,°,,,hexagonal,3.523,$\AA$,90,°,3.085,$\AA$,90,°,191
MgO$_{4}$S,5.182(15),$\AA$,90,°,,,orthorhombic,6.506(16),$\AA$,90,°,7.893(2),$\AA$,90,°,63
Al$_{6}$Cl$_{2}$Na$_{8}$O$_{24}$Si$_{6}$,8.875(1),$\AA$,90,°,,,,8.875(1),$\AA$,90,°,8.875(1),$\AA$,90,°,
